date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/9/6,3,ASUS RT-AC57U,1199,10,73,116,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/6,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,62,84,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/6,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,32,98,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/6,6,TP-LINK TL-WR940N,599,0,64,74,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/6,7,ASUS RT-AC58U,1999,0,21,77,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/6,8,TP-LINK M7200,1499,0,19,52,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/6,9,ASUS RT-AC66U B1,2399,0,19,50,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/9/6,10,"Tenda F3 (N300, F303)",369,0,32,28,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/7,1,TP-Link Archer C6,999,33,235,243,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/7,2,TP-LINK TL-WR841N,499,19,139,203,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/7,3,ASUS RT-AC57U,1199,10,76,101,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/7,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,62,79,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/7,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,34,108,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/7,6,TP-LINK TL-WR940N,599,0,61,79,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/7,7,TP-LINK M7200,1499,0,19,53,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/7,8,ASUS RT-AC58U,1999,0,21,96,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/7,9,"Tenda F3 (N300, F303)",369,0,34,37,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/7,10,TP-LINK Deco M5 3ks,6990,0,14,50,https://www.alza.cz/EN/tp-link-deco-m5-d5072789.htm
2019/9/8,1,TP-Link Archer C6,999,34,238,300,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/8,2,TP-LINK TL-WR841N,499,20,144,235,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
